num bound nonbound
0 25 108
1 156 105
2 5673 1359
3 1271 478
4 490 202
5 1266 395
6 371 124
7 230 110
8 433 217
9 200 62
10 134 43
11 172 43
12 107 49
13 72 43
14 71 36
15 46 29
16 46 27
17 50 20
18 30 71
19 14 12
20 22 12
21 25 19
22 16 15
23 26 11
24 68 6
25 13 7
26 18 20
27 11 13
28 10 14
29 10 11
30 6 9
31 10 10
32 6 5
33 6 1
34 8 4
35 4 5
36 7 2
37 11 3
38 3 3
39 4 2
40 5 5
41 3 3
42 2 6
43 1 2
44 3 2
45 7 2
46 4 1
47 2 1
48 2 1
49 4 1
51 1 3
52 3 4
53 3 1
54 2 2
55 3 5
56 3 1
57 4 0
58 1 2
59 2 0
60 1 3
61 1 1
62 0 1
64 2 0
65 1 0
66 1 1
67 2 0
68 1 0
69 0 1
70 1 2
72 1 4
73 0 1
74 1 1
77 0 2
78 4 2
80 0 1
82 0 1
85 0 2
86 0 1
88 1 1
89 1 0
90 0 1
91 0 1
95 0 3
97 0 1
98 0 1
99 0 1
100 0 1
101 0 2
102 0 1
110 0 1
115 0 1
116 0 1
120 0 1
125 1 0
126 1 0
132 0 1
135 0 1
136 0 1
137 0 1
142 1 0
143 0 1
148 0 2
149 1 0
156 1 0
165 0 1
175 0 1
177 0 1
211 0 1
213 0 1
228 3 0
235 0 1
253 3 0
255 0 1
259 0 1
265 0 1
271 0 1
279 0 1
280 0 1
308 0 1
319 0 1
334 0 1
413 0 1
564 0 1
565 0 1
611 0 1
655 0 1
696 0 1
709 0 1
719 0 1
