num bound nonbound
0 10 40
1 340 40
2 1482 220
3 391 112
4 190 81
5 265 64
6 104 45
7 62 29
8 78 28
9 47 12
10 38 9
11 22 23
12 32 12
13 25 14
14 12 10
15 15 7
16 15 4
17 18 11
18 17 9
19 8 5
20 8 4
21 7 4
22 9 1
23 12 3
24 6 2
25 5 4
26 4 5
27 3 7
28 2 5
29 8 2
30 3 3
31 3 5
32 4 5
33 4 2
34 2 1
35 5 1
36 4 1
37 1 3
38 2 1
39 2 0
40 4 2
41 2 0
42 2 0
43 0 2
44 1 0
45 2 1
46 0 2
48 0 3
49 0 1
50 1 0
51 0 1
52 2 0
55 3 1
56 2 1
57 0 1
58 2 0
59 0 1
60 0 1
61 0 1
66 0 1
67 0 1
70 0 1
74 0 1
76 0 1
77 0 1
79 0 1
87 1 0
88 0 2
89 0 2
93 0 1
125 0 1
143 1 0
199 0 1
201 0 1
390 0 1
405 0 1
