benchmark numFOR numDO numWHILE numGOTO numUnstructuredFlow numTOTAL
cBench-FinitePaths 803 3 144 0 0 950
cBench-Proved 1310 3 252 0 0 1565
cBench-AnyExitWeakCfWellformed 1982 137 536 16 0 2671
cBench-ANY 2700 269 1195 85 1 4250
cBench-NonSimple 718 132 659 69 1 1579
coreutils-FinitePaths 199 6 48 0 0 253
coreutils-Proved 250 6 90 0 0 346
coreutils-AnyExitWeakCfWellformed 327 23 148 0 0 498
coreutils-ANY 470 73 482 2 0 1027
coreutils-NonSimple 143 50 334 2 0 529
SPEC-FinitePaths 2999 0 334 1 0 3334
SPEC-Proved 5522 0 528 2 0 6052
SPEC-AnyExitWeakCfWellformed 8946 40 996 13 0 9995
SPEC-ANY 12594 256 2508 75 4 15437
SPEC-NonSimple 3648 216 1512 62 4 5442
WCET-FinitePaths 112 0 2 0 0 114
WCET-Proved 137 0 6 0 0 143
WCET-AnyExitWeakCfWellformed 201 0 12 1 0 214
WCET-ANY 232 2 27 1 0 262
WCET-NonSimple 31 2 15 0 0 48
